,id,city,country
0,8462600,Kitchener,CAN
1,8449745,Scarborough,CAN
2,8445730,Southborough,USA
3,8459173,Minnetonka,USA
4,8446417,Edmonton,CAN
5,8466403,Red Deer,CAN
6,8447363,Moscow,RUS
7,8460846,LaSalle,CAN
8,8445621,Montréal,CAN
9,8459654,Sudbury,CAN
10,8465002,Penza,RUS
11,8459306,Edmonton,CAN
12,8465091,Lahr,GER
13,8456024,Madison,USA
14,8458483,Voskresensk,RUS
15,8450773,Toronto,CAN
16,8466150,Oberbalm,SUI
17,8446955,Pardubice,CZE
18,8459045,Vancouver,CAN
19,8458126,Kitchener,CAN
20,8467468,Kladno,CZE
21,8465167,Turku,FIN
22,8457511,Grand Rapids,USA
23,8459576,Hull,CAN
24,8459147,St. Paul,USA
25,8468694,Martin,SVK
26,8460935,Kanata,CAN
27,8459543,Prague,CZE
28,8458208,Buffalo,USA
29,8464980,Buffalo,USA
30,8460513,Novosibirsk,RUS
31,8458964,Pierrefonds,CAN
32,8445283,Kimberley,CAN
33,8444894,Nelson,CAN
34,8468751,Egerkingen,SUI
35,8460526,Havlickuv Brod,CZE
36,8460531,Montréal,CAN
37,8448487,Bracebridge,CAN
38,8447680,Detroit,USA
39,8467097,Scarborough,CAN
40,8460239,Moscow,RUS
41,8457706,Köping,SWE
42,8446117,Weston,CAN
43,8460054,Hartford,USA
44,8456882,Balakovo,RUS
45,8458950,Norwood,USA
46,8466368,Edmonton,CAN
47,8457866,Hull,CAN
48,8467834,Chicago,USA
49,8447715,Troy,USA
50,8459563,Bloomington,USA
51,8468578,Kalix,SWE
52,8459557,Lappeenranta,FIN
53,8465184,Prince George,CAN
54,8468612,St. Petersburg,RUS
55,8460007,Trenton,USA
56,8459011,Ústí nad Labem,CZE
57,8448225,Surrey,CAN
58,8455479,Estevan,CAN
59,8458373,Two Hills,CAN
60,8451558,Glasgow,GBR
61,8466143,Toronto,CAN
62,8451793,Viking,CAN
63,8462071,London,CAN
64,8455447,Kungalv,SWE
65,8458801,Dorval,CAN
66,8456000,Regina,CAN
67,8459605,Calgary,CAN
68,8460628,Moscow,RUS
69,8459889,Winnipeg,CAN
70,8449093,Arvida,CAN
71,8456118,Boston,USA
72,8459993,Toronto,CAN
73,8446286,Montréal,CAN
74,8456182,Cranston,USA
75,8467445,Bellefeuille,CAN
76,8462096,Nizhny Tagil,RUS
77,8459482,Krasnoyarsk,RUS
78,8468000,Riga,LAT
79,8468743,Zurich,SUI
80,8466130,Chelehov,RUS
81,8466195,Detroit,USA
82,8456117,Elmira,USA
83,8468448,Belleville,CAN
84,8456903,Merritt,CAN
85,8447350,Downers Grove,USA
86,8465962,Montréal,CAN
87,8459074,Edina,USA
88,8446435,Montréal,CAN
89,8460563,Calgary,CAN
