id,season,Links,gameDate,gameType
2010020012,20102011,20012,2010-10-09,2
2010020024,20102011,20024,2010-10-10,2
2010020056,20102011,20056,2010-10-16,2
2010020074,20102011,20074,2010-10-19,2
2010020082,20102011,20082,2010-10-21,2
2010020098,20102011,20098,2010-10-23,2
2010020129,20102011,20129,2010-10-28,2
2010020145,20102011,20145,2010-10-30,2
2010020164,20102011,20164,2010-11-03,2
2010020180,20102011,20180,2010-11-05,2
2010020188,20102011,20188,2010-11-06,2
2010020212,20102011,20212,2010-11-10,2
2010020217,20102011,20217,2010-11-11,2
2010020233,20102011,20233,2010-11-13,2
2010020248,20102011,20248,2010-11-15,2
2010020258,20102011,20258,2010-11-17,2
2010020269,20102011,20269,2010-11-18,2
2010020283,20102011,20283,2010-11-20,2
2010020304,20102011,20304,2010-11-22,2
2010020315,20102011,20315,2010-11-24,2
2010020321,20102011,20321,2010-11-26,2
2010020346,20102011,20346,2010-11-28,2
2010020359,20102011,20359,2010-12-01,2
2010020365,20102011,20365,2010-12-02,2
2010020381,20102011,20381,2010-12-04,2
2010020401,20102011,20401,2010-12-07,2
2010020411,20102011,20411,2010-12-09,2
2010020425,20102011,20425,2010-12-11,2
2010020449,20102011,20449,2010-12-15,2
2010020463,20102011,20463,2010-12-16,2
2010020474,20102011,20474,2010-12-18,2
2010020488,20102011,20488,2010-12-20,2
2010020506,20102011,20506,2010-12-23,2
2010020532,20102011,20532,2010-12-27,2
2010020539,20102011,20539,2010-12-28,2
2010020552,20102011,20552,2010-12-30,2
2010020567,20102011,20567,2011-01-01,2
2010020581,20102011,20581,2011-01-03,2
2010020597,20102011,20597,2011-01-06,2
2010020614,20102011,20614,2011-01-08,2
2010020628,20102011,20628,2011-01-10,2
2010020632,20102011,20632,2011-01-11,2
2010020646,20102011,20646,2011-01-13,2
2010020660,20102011,20660,2011-01-15,2
2010020677,20102011,20677,2011-01-17,2
2010020686,20102011,20686,2011-01-18,2
2010020696,20102011,20696,2011-01-20,2
2010020714,20102011,20714,2011-01-22,2
2010020733,20102011,20733,2011-01-24,2
2010020742,20102011,20742,2011-01-26,2
2010020755,20102011,20755,2011-02-01,2
2010020770,20102011,20770,2011-02-03,2
2010020782,20102011,20782,2011-02-05,2
2010020808,20102011,20808,2011-02-09,2
2010020821,20102011,20821,2011-02-11,2
2010020842,20102011,20842,2011-02-13,2
2010020848,20102011,20848,2011-02-15,2
2010020863,20102011,20863,2011-02-17,2
2010020873,20102011,20873,2011-02-18,2
2010020906,20102011,20906,2011-02-22,2
2010020931,20102011,20931,2011-02-26,2
2010020938,20102011,20938,2011-02-27,2
2010020946,20102011,20946,2011-03-01,2
2010020957,20102011,20957,2011-03-03,2
2010020976,20102011,20976,2011-03-05,2
2010020996,20102011,20996,2011-03-08,2
2010021008,20102011,21008,2011-03-10,2
2010021015,20102011,21015,2011-03-11,2
2010021044,20102011,21044,2011-03-15,2
2010021060,20102011,21060,2011-03-17,2
2010021072,20102011,21072,2011-03-19,2
2010021088,20102011,21088,2011-03-22,2
2010021102,20102011,21102,2011-03-24,2
2010021116,20102011,21116,2011-03-26,2
2010021131,20102011,21131,2011-03-27,2
2010021134,20102011,21134,2011-03-29,2
2010021150,20102011,21150,2011-03-31,2
2010021164,20102011,21164,2011-04-02,2
2010021182,20102011,21182,2011-04-04,2
2010021193,20102011,21193,2011-04-06,2
2010021216,20102011,21216,2011-04-09,2
2010021226,20102011,21226,2011-04-10,2
2010030131,20102011,30131,2011-04-14,3
2010030132,20102011,30132,2011-04-16,3
2010030133,20102011,30133,2011-04-18,3
2010030134,20102011,30134,2011-04-21,3
2010030135,20102011,30135,2011-04-23,3
2010030136,20102011,30136,2011-04-26,3
2010030137,20102011,30137,2011-04-27,3
2010030221,20102011,30221,2011-04-30,3
2010030222,20102011,30222,2011-05-02,3
2010030223,20102011,30223,2011-05-04,3
2010030224,20102011,30224,2011-05-06,3
2010030311,20102011,30311,2011-05-14,3
2010030312,20102011,30312,2011-05-17,3
2010030313,20102011,30313,2011-05-19,3
2010030314,20102011,30314,2011-05-21,3
2010030315,20102011,30315,2011-05-23,3
2010030316,20102011,30316,2011-05-25,3
2010030317,20102011,30317,2011-05-27,3
2010030411,20102011,30411,2011-06-01,3
2010030412,20102011,30412,2011-06-04,3
2010030413,20102011,30413,2011-06-06,3
2010030414,20102011,30414,2011-06-08,3
2010030415,20102011,30415,2011-06-10,3
2010030416,20102011,30416,2011-06-13,3
2010030417,20102011,30417,2011-06-15,3
2010020013,20102011,20013,2010-10-09,2
2010020028,20102011,20028,2010-10-11,2
2010020049,20102011,20049,2010-10-15,2
2010020070,20102011,20070,2010-10-18,2
2010020083,20102011,20083,2010-10-21,2
2010020098,20102011,20098,2010-10-23,2
2010020112,20102011,20112,2010-10-24,2
2010020123,20102011,20123,2010-10-27,2
2010020138,20102011,20138,2010-10-29,2
2010020143,20102011,20143,2010-10-30,2
2010020157,20102011,20157,2010-11-01,2
2010020173,20102011,20173,2010-11-04,2
2010020179,20102011,20179,2010-11-05,2
2010020200,20102011,20200,2010-11-07,2
2010020204,20102011,20204,2010-11-09,2
2010020218,20102011,20218,2010-11-11,2
2010020244,20102011,20244,2010-11-14,2
2010020251,20102011,20251,2010-11-15,2
2010020258,20102011,20258,2010-11-17,2
2010020279,20102011,20279,2010-11-19,2
2010020290,20102011,20290,2010-11-20,2
2010020300,20102011,20300,2010-11-22,2
2010020314,20102011,20314,2010-11-24,2
2010020331,20102011,20331,2010-11-26,2
2010020340,20102011,20340,2010-11-27,2
2010020348,20102011,20348,2010-11-29,2
2010020368,20102011,20368,2010-12-02,2
2010020373,20102011,20373,2010-12-03,2
2010020392,20102011,20392,2010-12-05,2
2010020415,20102011,20415,2010-12-09,2
2010020431,20102011,20431,2010-12-11,2
2010020438,20102011,20438,2010-12-12,2
2010020451,20102011,20451,2010-12-15,2
2010020461,20102011,20461,2010-12-16,2
2010020473,20102011,20473,2010-12-18,2
2010020509,20102011,20509,2010-12-23,2
2010020530,20102011,20530,2010-12-27,2
2010020545,20102011,20545,2010-12-29,2
2010020570,20102011,20570,2011-01-01,2
2010020574,20102011,20574,2011-01-02,2
2010020591,20102011,20591,2011-01-05,2
2010020608,20102011,20608,2011-01-07,2
2010020618,20102011,20618,2011-01-08,2
2010020635,20102011,20635,2011-01-11,2
2010020649,20102011,20649,2011-01-13,2
2010020662,20102011,20662,2011-01-15,2
2010020674,20102011,20674,2011-01-16,2
2010020693,20102011,20693,2011-01-19,2
2010020701,20102011,20701,2011-01-20,2
2010020718,20102011,20718,2011-01-22,2
2010020728,20102011,20728,2011-01-24,2
2010020734,20102011,20734,2011-01-25,2
2010020753,20102011,20753,2011-02-01,2
2010020772,20102011,20772,2011-02-03,2
2010020783,20102011,20783,2011-02-05,2
2010020797,20102011,20797,2011-02-07,2
2010020825,20102011,20825,2011-02-11,2
2010020838,20102011,20838,2011-02-13,2
2010020864,20102011,20864,2011-02-17,2
2010020870,20102011,20870,2011-02-18,2
2010020887,20102011,20887,2011-02-20,2
2010020896,20102011,20896,2011-02-22,2
2010020915,20102011,20915,2011-02-25,2
2010020932,20102011,20932,2011-02-27,2
2010020942,20102011,20942,2011-03-01,2
2010020958,20102011,20958,2011-03-03,2
2010020969,20102011,20969,2011-03-04,2
2010020984,20102011,20984,2011-03-06,2
2010021007,20102011,21007,2011-03-09,2
2010021032,20102011,21032,2011-03-12,2
2010021043,20102011,21043,2011-03-15,2
2010021067,20102011,21067,2011-03-18,2
2010021080,20102011,21080,2011-03-20,2
2010021089,20102011,21089,2011-03-22,2
2010021104,20102011,21104,2011-03-24,2
2010021116,20102011,21116,2011-03-26,2
2010021145,20102011,21145,2011-03-30,2
2010021151,20102011,21151,2011-03-31,2
2010021175,20102011,21175,2011-04-03,2
2010021182,20102011,21182,2011-04-04,2
2010021201,20102011,21201,2011-04-07,2
2010021215,20102011,21215,2011-04-09,2
2010030111,20102011,30111,2011-04-13,3
2010030112,20102011,30112,2011-04-15,3
2010030113,20102011,30113,2011-04-17,3
2010030114,20102011,30114,2011-04-20,3
2010030115,20102011,30115,2011-04-23,3
2010020023,20102011,20023,2010-10-09,2
2010020033,20102011,20033,2010-10-11,2
2010020041,20102011,20041,2010-10-13,2
2010020054,20102011,20054,2010-10-15,2
2010020068,20102011,20068,2010-10-17,2
2010020076,20102011,20076,2010-10-19,2
2010020080,20102011,20080,2010-10-20,2
2010020097,20102011,20097,2010-10-22,2
2010020122,20102011,20122,2010-10-26,2
2010020159,20102011,20159,2010-11-01,2
