gameId,gameDate,gameType,Team Home,Score Home,Score Away,Team Away,Shot Home EV,Miss Home EV,Block Home EV,Goal Home EV,CF EV,Shot Away EV,Miss Away EV,Block Away EV,Goal Away EV,CA EV,Shot Home 5v5,Miss Home 5v5,Block Home 5v5,Goal Home 5V5,CF 5v5,Shot Away 5v5,Miss Away 5v5,Block Away 5v5,Goal Away 5v5,CA 5v5,First Goal Home,First Goal Away,SOG Home,SOG Away,Faceoff Home,Faceoff Away,Pim Home,Pim Away
2023020001,2023-10-10,2,TBL,5,3,NSH,21,12,9,3,45,21,10,15,2,48,21,12,9,2,44,21,10,15,2,48,1,0,34,31,0.566667,0.433333,8,10
2023020002,2023-10-10,2,PIT,2,4,CHI,35,12,14,2,63,26,13,13,4,56,35,12,14,2,63,26,13,13,4,56,1,0,41,36,0.677966,0.322034,8,4
2023020003,2023-10-10,2,VGK,4,1,SEA,21,7,12,4,44,22,10,18,1,51,21,7,12,4,44,22,10,18,1,51,1,0,28,33,0.591837,0.408163,11,8
2023020004,2023-10-11,2,CAR,5,3,OTT,32,15,12,3,62,17,12,6,2,37,31,15,12,3,61,17,12,6,2,37,0,1,42,30,0.522388,0.477612,10,14
2023020005,2023-10-11,2,TOR,6,5,MTL,31,11,13,4,59,17,12,12,4,45,27,10,13,3,53,15,10,11,4,40,0,1,42,24,0.481481,0.518519,15,25
2023020006,2023-10-11,2,BOS,3,1,CHI,25,14,23,3,65,17,12,10,1,40,25,14,23,3,65,17,12,10,1,40,0,1,33,21,0.62963,0.37037,13,23
2023020007,2023-10-11,2,CGY,5,3,WPG,11,6,13,3,33,20,15,23,3,61,11,6,13,3,33,20,15,23,3,61,1,0,22,37,0.61039,0.38961,8,6
2023020008,2023-10-11,2,LAK,2,5,COL,23,11,16,2,52,25,7,11,4,47,23,11,16,2,52,25,7,11,4,47,0,1,36,37,0.515625,0.484375,15,19
2023020009,2023-10-11,2,VAN,8,1,EDM,14,8,7,5,34,19,11,10,0,40,14,8,7,5,34,19,11,10,0,40,1,0,32,27,0.460317,0.539683,13,17
2023020010,2023-10-12,2,BUF,1,5,NYR,20,7,14,1,42,23,9,10,3,45,18,7,14,1,40,22,9,10,3,44,0,1,25,31,0.366667,0.633333,10,8
