gameId,gameType,gameDate,Team,Oponente,Score_For,Score_Against,W_L,L_V,Goal_For_EV,Goal_Against_EV,Shot_For_EV,Miss_For_EV,Block_For_EV,Shot_Against_EV,Miss_Against_EV,Block_Against_EV,First_Goal_For,SOG_For,Faceoff_For,Pim_For,First_Goal_Against,SOG_Against,Faceoff_Against,Pim_Against,day_code
2019020001,2,2019-10-02,TOR,OTT,5.0,3.0,1,1,4,3,28,13,14,21,11,8,0,42,0.424658,6,1,26,0.575342,10,2
2019020015,2,2019-10-04,TOR,CBJ,4.0,1.0,1,0,2,0,22,5,17,24,8,11,1,29,0.586207,12,0,29,0.413793,12,4
2019020019,2,2019-10-05,TOR,MTL,5.0,6.0,0,1,4,5,25,12,13,36,15,14,0,37,0.541667,6,1,42,0.458333,10,5
2019020034,2,2019-10-07,TOR,STL,2.0,3.0,0,1,2,3,28,22,18,21,11,7,0,34,0.5,8,1,30,0.5,6,0
2019020047,2,2019-10-10,TOR,T.B,3.0,7.0,0,1,2,5,22,11,18,21,10,11,0,28,0.555556,6,1,33,0.444444,4,3
2019020066,2,2019-10-12,TOR,DET,5.0,2.0,1,0,5,2,32,9,22,20,5,11,0,41,0.586207,2,1,27,0.413793,6,5
2019020085,2,2019-10-15,TOR,MIN,4.0,2.0,1,1,2,2,27,11,15,18,8,8,0,34,0.54717,6,1,29,0.45283,6,1
2019020093,2,2019-10-16,TOR,WSH,3.0,4.0,0,0,2,3,26,12,23,24,12,16,1,32,0.526316,10,0,32,0.473684,2,2
2019020115,2,2019-10-19,TOR,BOS,4.0,3.0,1,1,4,2,25,13,9,34,11,14,1,29,0.530612,8,0,46,0.469388,2,5
2019020129,2,2019-10-21,TOR,CBJ,3.0,4.0,0,1,2,2,20,10,16,26,7,10,0,31,0.661538,10,1,38,0.338462,4,0
2019020133,2,2019-10-22,TOR,BOS,2.0,4.0,0,0,1,3,21,4,7,29,6,8,0,30,0.396825,8,1,39,0.603175,8,1
2019020156,2,2019-10-25,TOR,S.J,4.0,1.0,1,1,4,1,19,12,12,13,8,9,0,27,0.513514,2,1,17,0.486486,10,4
2019020163,2,2019-10-26,TOR,MTL,2.0,5.0,0,0,2,4,28,7,16,28,13,14,0,31,0.514706,4,1,38,0.485294,2,5
2019020180,2,2019-10-29,TOR,WSH,3.0,4.0,0,1,2,2,16,12,5,19,9,6,1,31,0.6,16,0,33,0.4,18,1
2019020209,2,2019-11-02,TOR,PHI,4.0,3.0,1,0,5,2,28,8,12,34,16,8,1,26,0.392157,14,0,40,0.607843,6,5
2019020228,2,2019-11-05,TOR,L.A,3.0,1.0,1,1,3,0,14,16,13,18,12,10,0,23,0.574074,6,1,25,0.425926,8,1
2019020237,2,2019-11-07,TOR,VGK,2.0,1.0,1,1,1,1,20,9,13,24,8,13,0,37,0.537313,10,1,38,0.462687,12,3
